1,渡部,春奈,わたべ,はるな,969-6576,福島県河沼郡会津坂下町牛川7-4-4,0242-202-8400,090-3697-8802,女
2,添田,春奈,そえだ,はるな,018-2303,秋田県山本郡三種町森岳5-6-3,0185-781-1017,080-5443-5449,女
3,黒沢,紀子,くろさわ,のりこ,987-0412,宮城県登米市南方町大涌戸9-2-1,0228-589-8710,090-3256-9545,女
4,海藤,雄介,かいどう,ゆうすけ,038-2705,青森県西津軽郡鰺ヶ沢町南浮田町9-7-1,0173-909-4312,090-5557-2011,男
5,登米,美雨,とめ,みう,983-0842,宮城県仙台市宮城野区五輪2-8-1,022-8164-1631,090-3601-8793,女
6,若山,博史,わかやま,ひろし,963-1164,福島県郡山市田村町御代田4-9-7,024-1256-1116,080-2818-4625,男
7,安川,博美,やすかわ,ひろみ,018-0433,秋田県にかほ市畑4-1-3,0184-610-4608,080-9471-9714,女
8,西沢,誠一郎,にしざわ,せいいちろう,028-4305,岩手県岩手郡岩手町久保6-4-8,0195-960-6973,090-9813-8485,男
9,村主,隆司,すぐり,たかし,987-0442,宮城県登米市南方町茶臼森前7-7-6,0220-107-8665,090-6554-5004,男
10,寧々沢,久美,ねねざわ,くみ,964-0826,福島県二本松市石ノ花1-6-8,0243-706-5267,090-1038-1011,女
11,伊田,久美,いだ,くみ,999-2172,山形県東置賜郡高畠町夏茂5-5-8,0238-926-2990,080-5372-9680,女
12,白石,大,しらいし,だい,039-1557,青森県三戸郡五戸町上川原5-8-7,0178-809-4818,090-7518-6232,男
13,白石,徹子,しろいし,てつこ,036-0111,青森県平川市小和森松川7-4-3,0172-504-6578,080-5387-9407,女
14,久保田,保志,くぼた,やすし,999-3103,山形県上山市金谷3-3-6,023-1408-2638,080-7941-7467,男
15,津熊,麻衣,つくま,まい,028-0144,岩手県花巻市東和町宮田2-8-4,0198-565-7194,090-1494-6991,女
16,登米,颯,とめ,はやて,993-0016,山形県長井市台町6-6-1,0238-319-5229,090-9611-4093,男
17,東海林,晋,しょうじ,しん,983-0815,宮城県仙台市宮城野区小田原広丁6-8-7,022-4368-7169,080-4315-9921,男
18,鷹巣,正,たかのす,ただし,018-3146,秋田県能代市二ツ井町中坪道下3-4-8,0185-216-3066,090-3754-1404,男
19,小野,沙也,おの,さや,986-0005,宮城県石巻市大瓜1-8-3,0225-126-8784,090-2964-2102,女
20,堀北,芳樹,ほりきた,よしき,989-4532,宮城県栗原市瀬峰樋口山5-9-7,0228-184-2139,080-3974-4812,男
21,久保田,真理子,くぼた,まりこ,028-6946,岩手県二戸市浄法寺町安比内6-1-3,0195-532-8269,080-8207-8164,女
22,伊野尾,元雄,いのお,もとお,036-8014,青森県弘前市南瓦ケ町9-5-5,0172-759-2714,080-9900-1921,男
23,齋藤,寛一,さいとう,かんいち,019-1814,秋田県大仙市南外下木直1-1-5,0187-956-6657,080-1174-9982,男
24,中沢,雄介,なかざわ,ゆうすけ,987-0342,宮城県登米市豊里町山根前2-1-6,0225-655-6673,090-1326-8219,男
25,矢口,慎二,やぐち,しんじ,987-2233,宮城県栗原市築館照越1-8-9,0228-618-3025,090-2050-8297,男
26,鳥居,昭二,とりい,しょうじ,036-0203,青森県平川市南田中西林元4-2-7,0172-845-2086,080-7367-2408,男
27,根本,真紀,ねもと,まき,987-0306,宮城県登米市米山町土佐ケ渕2-3-9,0225-316-9872,090-7408-2572,女
28,恋里,力,こいさと,ちから,963-1305,福島県郡山市熱海町下伊豆島6-6-1,024-1803-1900,090-9446-2634,男
29,小野寺,明子,おのでら,あきこ,020-0845,岩手県盛岡市湯沢南6-2-8,019-5771-6652,090-6105-6472,女
30,星村,邦夫,ほしむら,くにお,028-3322,岩手県紫波郡紫波町栃内8-5-1,019-6130-8879,080-6143-6124,男
31,心沢,蒼汰,こころざわ,そうた,989-2361,宮城県亘理郡亘理町沼頭5-5-3,0223-971-1711,090-6904-2597,男
32,黒沢,隆行,くろさわ,たかゆき,038-3525,青森県北津軽郡鶴田町大性2-7-8,0173-716-6176,090-3198-2997,男
33,中井戸,琴音,なかいど,ことね,028-1117,岩手県上閉伊郡大槌町末広町3-9-9,0193-115-6164,090-4250-3374,女
34,脇田,実,わきた,みのる,969-6251,福島県大沼郡会津美里町永井野5-6-2,0242-513-3192,090-9221-7253,男
35,廣田,浩平,ひろだ,こうへい,034-0035,青森県十和田市東十六番町3-6-3,0176-565-4447,090-8855-9217,男
36,笠野,靖,かさの,やすし,987-0424,宮城県登米市南方町細川浦4-2-5,0228-360-6583,090-2885-5216,男
37,山川,和也,やまかわ,かずや,999-2265,山形県南陽市西落合7-7-4,0238-581-8572,090-2020-8364,男
38,乗鞍,真紀,のりくら,まき,987-0376,宮城県登米市豊里町細沼田3-3-5,0225-255-4577,080-1666-2924,女
39,手島,夏樹,てじま,なつき,989-6711,宮城県大崎市鳴子温泉蓬田3-9-8,0229-823-6346,090-7858-3024,男
40,森田,文也,もりた,ふみや,988-0844,宮城県気仙沼市象ケ鼻1-1-5,0226-750-9968,090-4409-5243,男
41,澤田,雅子,さわだ,まさこ,014-0379,秋田県仙北市角館町西北野9-1-2,0187-294-3055,090-2833-3710,女
42,前田,夏美,まえだ,なつみ,039-1113,青森県八戸市西白山台9-9-3,0178-600-2438,080-5256-4709,女
43,新野,和重,しんの,かずしげ,029-4208,岩手県奥州市前沢区田畠1-6-8,0197-148-7389,090-5296-7903,男
44,榎本,かざみ,えのもと,かざみ,960-8042,福島県福島市荒町3-3-5,024-8815-9082,090-8759-6365,女
45,宇田,雄二,うだ,ゆうじ,988-0824,宮城県気仙沼市川原崎5-1-7,0226-931-3608,090-5913-8432,男
46,高知,裕子,こうち,ゆうこ,987-0445,宮城県登米市南方町翌沢9-9-3,0225-343-6281,090-5178-9095,女
47,二本松,真美,にほんまつ,まみ,026-0051,岩手県釜石市礼ケ口町9-3-6,0193-629-8217,090-5174-7216,女
48,乙部,美雨,おとべ,みう,986-0811,宮城県石巻市元倉6-8-6,0225-296-3311,090-2303-1229,女
49,泉川,にいな,いずみがわ,にいな,039-3101,青森県上北郡野辺地町浜掛8-7-9,0175-215-5660,080-3396-3228,女
50,岩城,健太,いわしろ,けんた,019-1834,秋田県大仙市南外北田黒瀬2-7-4,018-6419-4309,090-5301-3422,男
51,夏川,善成,なつかわ,よしなり,999-0214,山形県東置賜郡川西町吉田9-9-7,0238-250-9796,,男
52,玉山,邦夫,たまやま,くにお,990-0845,山形県山形市飯塚町2-4-4,023-9688-1475,090-6510-4316,男
